"","logFC","logCPM","PValue","FDR"
"YDR345C",-0.513666768573197,11.6415814199672,6.09566118732562e-239,6.67926430470476e-237
"YPR145W",-1.29310382629471,9.32203727159655,1.85074349413106e-234,1.9910635008679e-232
"YPR149W",-1.76685670499725,8.02482854382081,6.16768499442394e-232,6.51682002000116e-230
"YAL061W",-2.24687269448563,7.42581197103052,4.42100199608258e-227,4.58931031768783e-225
"R0030W",1.21732193152852,9.26133409606017,1.36624686875615e-226,1.39380736593623e-224
"YIL053W",0.610109039003831,11.2187963634789,3.75003469760671e-226,3.76083988232862e-224
"YMR008C",-2.00048579741339,7.9431314207957,1.97127410051987e-223,1.94400480879601e-221
"YKL152C",-0.326318186150044,12.9452764485818,1.46859940081011e-221,1.4245414187858e-219
"YBL003C",1.27329686375239,9.05616613497184,3.33669142011783e-217,3.18438760207051e-215
"YMR173W",-1.37482605510277,8.83974828535973,4.97675206274903e-209,4.67419713575968e-207
"YOR290C",-9.31538870436344,5.86950919237577,1.50752306848299e-206,1.39375218690841e-204
"YBR118W",-0.322524268173138,13.8013851184451,2.28717801679594e-206,2.0820357423664e-204
"YDL022W",-1.20318329769791,8.7697072069933,6.12449228980333e-196,5.49070013314641e-194
"YOL158C",-1.82729542205748,7.65088722812385,5.12415363763765e-183,4.5253159811794e-181
"YAR015W",-1.63749152821785,7.84111156559084,2.76563871315453e-180,2.40651239201991e-178
"YDR524W-C",2.11888833222051,7.88648534550917,4.42773828711667e-180,3.7969460065028e-178
"YOL016C",-1.27242116738127,8.54793428444439,1.5467148703619e-174,1.3074159839902e-172
"YMR105C",-1.18053072820015,8.92464718362251,2.23291155631248e-173,1.86086446178886e-171
"YBR196C",-0.603523692474266,11.0058653693212,1.21287445438082e-172,9.96746964801571e-171
"YCL040W",-0.459644172725431,11.4278327717911,5.86125904138524e-167,4.75083147231185e-165
"YDR019C",-2.81742530712306,6.38246981403364,9.85735488652969e-167,7.88188768426975e-165
"YER056C",-1.49291426644664,8.04660114797912,2.80548409485115e-165,2.21333991856457e-163
"YNL031C",1.08951069017465,9.69756282207686,1.54446341365299e-164,1.20244605507694e-162
"YBR011C",0.701575347793049,10.256639282252,3.40310816485218e-163,2.6150897417442e-161
"YLR350W",1.11263430889191,8.97502224682582,8.53962272158793e-160,6.47807021072254e-158
"YLR355C",-0.771692268122461,9.76868563357558,2.07474625897563e-157,1.55395868536187e-155
"YJR104C",-0.656970663166687,10.8036303620705,9.38701739617157e-157,6.9428727416434e-155
"YMR011W",-0.398581470662773,11.76099047663,9.8106015275599e-157,7.16658385661382e-155
"YLR413W",-1.70421768180163,7.68689054864973,1.82431627755459e-154,1.31639992857202e-152
"YPR035W",-0.509887892314275,11.1480980865245,2.22889689953136e-154,1.58896180175025e-152
"YBR296C",-3.3450692846871,6.55101599413823,4.9548214006235e-154,3.49019978898681e-152
"YNL160W",-2.30181012116047,6.95313330317849,1.08789450029054e-150,7.57302559790488e-149
"YGR061C",-1.07042623532603,8.8908614091023,1.23796147287093e-149,8.51746283136893e-148
"YNL208W",-0.647955789274758,10.1528876398013,4.84141188696424e-143,3.29271656726062e-141
"YBR092C",-2.3478290894804,6.6438451768303,4.70792284914499e-142,3.16554312481715e-140
"YDR055W",-1.69012677067766,7.36424447574824,1.00406246657723e-137,6.67532316262636e-136
"YLL050C",0.984633223760109,9.08528108732702,1.14337437556261e-137,7.51705131133775e-136
"YKL056C",-0.490209710442508,10.9089092417155,1.19156612289293e-134,7.74779862544778e-133
"YPL019C",-1.67130929929923,7.48386979562143,1.97863219429397e-134,1.2725615971345e-132
"YDL039C",-2.27647942910436,6.52891777109785,9.55749424919176e-132,6.08082725510405e-130
"YLL024C",-0.61187800468185,10.7855011446389,1.94714877344125e-124,1.22566800983531e-122
"YHR136C",-4.12651177488476,5.26150454702294,5.08099390671834e-124,3.16465694168973e-122
"YLR180W",-0.92910094557175,8.93781073326777,2.73512510724825e-123,1.68580575620708e-121
"YHR183W",-0.677143377787434,9.8119703174419,4.90097687297797e-121,2.98959589251656e-119
"YLR359W",-1.14375671153627,8.76037687846553,2.88509657059112e-118,1.7419506538967e-116
"YLR194C",-1.04209759441412,8.72850724781646,1.15283279084153e-114,6.89021376101954e-113
"YJL158C",-0.683641528130734,9.65539711996415,1.70555135074796e-114,1.00917473423757e-112
"YMR300C",-1.77838714190009,7.16319292530057,2.05849604494512e-114,1.20595258395448e-112
"YGR189C",0.707519638445814,9.73202211498276,3.41465562964593e-113,1.98083503535441e-111
"YIL121W",-2.57351587071413,6.31301058462322,3.70747846386496e-113,2.12982039521252e-111
"YHL021C",-1.38016592165742,7.87011673880763,9.74171689323435e-112,5.54247489012189e-110
"YGR161C",1.04067856757183,8.6638917069062,2.97719707291421e-110,1.67772143623175e-108
"YLR300W",-0.893377042293272,8.91875898329659,3.6821674380482e-109,2.05541365386143e-107
"YBL002W",1.21247951227859,8.21969581332429,5.00128321512789e-108,2.76566287700109e-106
"YDL182W",-1.31662203646414,8.12904832335659,1.85107722594287e-105,1.01415036536148e-103
"YJR148W",-1.27484143690713,7.70882704878844,6.79539687659658e-103,3.68884067145156e-101
"YJR145C",-0.368354784815085,11.3258494577801,4.90016203827182e-101,2.63584170731403e-99
"YMR122W-A",-0.671326222472555,9.86125511272321,1.58900865825635e-97,8.47041822603856e-96
"YDR406W",-1.52328462145207,7.19430641736273,1.69830495530476e-96,8.97220573262346e-95
"YJL012C",-1.25798813138228,8.01418294032268,2.29566859896117e-95,1.20207708850029e-93
"YPR124W",-0.970654064301008,8.3133118681019,2.31127680569533e-94,1.19963375958765e-92
"YKL062W",-1.71272868998661,6.88858147780851,6.88280518807311e-94,3.54135289546336e-92
"YHL047C",-1.52574502860986,7.47247584272469,1.23071286048023e-93,6.27769654781164e-92
"YCR021C",-2.22750046464174,6.07813043654838,1.45945592483292e-93,7.38085530533025e-92
"YHR162W",0.994069395529442,8.48832453006688,3.09351255697676e-93,1.55121303386707e-91
"YNL030W",0.620475855323369,9.76916269422966,8.46428498409527e-93,4.20867010511695e-91
